,0
18,https://www.airbnb.com.vn/rooms/1197557403259617723?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899949_P39YKN8JlQ3gKmc9&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
19,https://www.airbnb.com.vn/rooms/686701260232102555?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899949_P3i5a25p1n0G-x5U&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
20,https://www.airbnb.com.vn/rooms/753111126120288445?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899950_P3pJp7Wj-qg5hXc5&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
21,https://www.airbnb.com.vn/rooms/1204123601752762951?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-26&check_out=2024-08-31&source_impression_id=p3_1723899950_P3KY0zt89xPkeheR&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
22,https://www.airbnb.com.vn/rooms/1013640536593986063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3gisQE70eRAGg7e&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
23,https://www.airbnb.com.vn/rooms/879959317309815514?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899950_P30dEgWh1GrlKy08&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
24,https://www.airbnb.com.vn/rooms/1207817931049750936?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3blgjC80Y5zsLYr&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
25,https://www.airbnb.com.vn/rooms/24092728?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=471146581&search_mode=regular_search&check_in=2024-08-20&check_out=2024-08-25&source_impression_id=p3_1723899950_P3zEP27UKD8JxSq2&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
26,https://www.airbnb.com.vn/rooms/987926716894388540?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-23&check_out=2024-08-28&source_impression_id=p3_1723899950_P3OZfq5JGUyo3SGa&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
27,https://www.airbnb.com.vn/rooms/796670144212590183?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3IF9kR7ds9fReMt&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
28,https://www.airbnb.com.vn/rooms/53908218?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-23&check_out=2024-08-28&source_impression_id=p3_1723899950_P3wmlka2ES6ldsQ1&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
29,https://www.airbnb.com.vn/rooms/1222808136542505678?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3slfkagM5Km2isn&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
30,https://www.airbnb.com.vn/rooms/848836829018892745?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3pCKqSSwduzJ85r&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
31,https://www.airbnb.com.vn/rooms/1024202587107982159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899950_P3tQ_JDp9DN5ntoU&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
32,https://www.airbnb.com.vn/rooms/972873441559867798?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-20&check_out=2024-08-25&source_impression_id=p3_1723899950_P3lBEg0pLVmDJHFw&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
33,https://www.airbnb.com.vn/rooms/917826457340929575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3oqYv0mSkuXDnDc&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
34,https://www.airbnb.com.vn/rooms/1218550992181542696?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3M0nX7-bxD0G3Pj&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
35,https://www.airbnb.com.vn/rooms/774388211430321952?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1539426623&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899950_P3voQFufTjFtUiiV&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
36,https://www.airbnb.com.vn/rooms/1030280962762130556?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-22&check_out=2024-08-27&source_impression_id=p3_1723899952_P3xNEWECl7iGEIu2&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
37,https://www.airbnb.com.vn/rooms/839637124832421043?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3X3OXGZrVV5jxbQ&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
38,https://www.airbnb.com.vn/rooms/1219399529523525531?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971887226&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3VPjIpGIES2JwwW&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
39,https://www.airbnb.com.vn/rooms/1142326001611396435?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P323ExEE637j9zv_&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
40,https://www.airbnb.com.vn/rooms/1081656867296055072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-25&check_out=2024-08-30&source_impression_id=p3_1723899953_P3Dbcde-pACZRWST&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
41,https://www.airbnb.com.vn/rooms/1200708812779088258?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-21&check_out=2024-08-26&source_impression_id=p3_1723899953_P3yyHC5S6ntuMUJy&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
42,https://www.airbnb.com.vn/rooms/1053305033830220353?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3Ft0Q9xJ2btFTak&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
43,https://www.airbnb.com.vn/rooms/1155615430528138609?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1905718497&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3wpa8lwV-fgtLXT&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
44,https://www.airbnb.com.vn/rooms/996686005766270955?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P3MAXdKY6E_0hxrX&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
45,https://www.airbnb.com.vn/rooms/841226328609891797?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3AAALzdmvrm-Kfx&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
46,https://www.airbnb.com.vn/rooms/923627931937958352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P3ybGlcQ_htVqIlo&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
47,https://www.airbnb.com.vn/rooms/42031110?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P3jQIYU8obSqi9Ru&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
48,https://www.airbnb.com.vn/rooms/900526231593858375?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1661200959&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P34qPDbdWf6PBZy5&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
49,https://www.airbnb.com.vn/rooms/1004723639532088946?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899953_P3_5LDTAEoS2gdhr&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
50,https://www.airbnb.com.vn/rooms/1214915370091373471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899953_P3JrGHKqQkV9NdPH&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
51,https://www.airbnb.com.vn/rooms/918741717139926427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P3rQvm85WCiAsOX2&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
52,https://www.airbnb.com.vn/rooms/1201464813404065169?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1953317270&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3zqu1f6NLsQbJFD&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
53,https://www.airbnb.com.vn/rooms/1180421281784433904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-30&check_out=2024-09-04&source_impression_id=p3_1723899953_P30surf6-4CUvSQJ&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
54,https://www.airbnb.com.vn/rooms/918741717139926427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899956_P3eqHSurs6D83PE8&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
55,https://www.airbnb.com.vn/rooms/1180421281784433904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-30&check_out=2024-09-04&source_impression_id=p3_1723899956_P3zpqMdHurWed-ZK&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
56,https://www.airbnb.com.vn/rooms/25896078?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-01&check_out=2024-09-06&source_impression_id=p3_1723899956_P3hXD6KLT9ro-2wU&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
57,https://www.airbnb.com.vn/rooms/1099643396935470156?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899956_P3A3wVM6TYg672cF&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
58,https://www.airbnb.com.vn/rooms/1215111982906001017?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899956_P3fga4VgbnRxG6Hm&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
59,https://www.airbnb.com.vn/rooms/711960758494920396?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899956_P3MXnWJPXWRdvrbJ&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
60,https://www.airbnb.com.vn/rooms/1201464813404065169?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1953317270&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899956_P3F3mJJem3vfsAYw&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
61,https://www.airbnb.com.vn/rooms/1154002845340474762?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899956_P3O2thZfU98ZakNN&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
62,https://www.airbnb.com.vn/rooms/824532559427628642?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899956_P3v-EsRiGJKwh0gv&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
63,https://www.airbnb.com.vn/rooms/1130252017647465707?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1879526228&search_mode=regular_search&check_in=2024-09-02&check_out=2024-09-07&source_impression_id=p3_1723899956_P3TyYWa-U12rmQq6&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
64,https://www.airbnb.com.vn/rooms/1198339152063263584?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-30&check_out=2024-09-04&source_impression_id=p3_1723899956_P3zl9RcCThZKQD66&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
65,https://www.airbnb.com.vn/rooms/1200495236993586323?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-24&check_out=2024-08-29&source_impression_id=p3_1723899956_P3vwdsK8GBhlrnVZ&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
66,https://www.airbnb.com.vn/rooms/862539815186536303?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899956_P3dfmjXK9nO8BHvX&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
67,https://www.airbnb.com.vn/rooms/1210188841673851054?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1962855304&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899956_P3MX24taMKenRg4n&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
68,https://www.airbnb.com.vn/rooms/1148504339572909036?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899956_P31MdKPxmefTOBHl&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
69,https://www.airbnb.com.vn/rooms/904271076733579454?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899956_P3RYSLABOfoIyVJd&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
70,https://www.airbnb.com.vn/rooms/42236178?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899956_P37-F38ZJ741adfw&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
71,https://www.airbnb.com.vn/rooms/632181936678012934?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899956_P3COctGfyrR17DJm&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
72,https://www.airbnb.com.vn/rooms/1099989425920478474?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899958_P3sLFvWJ52tC8qAA&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
73,https://www.airbnb.com.vn/rooms/1056920511102445888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899959_P33YGQ5PNFrXDFmI&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
74,https://www.airbnb.com.vn/rooms/1117901973868714933?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1969576014&search_mode=regular_search&check_in=2024-09-02&check_out=2024-09-07&source_impression_id=p3_1723899959_P3XNy9Kl0Kc-jG36&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
75,https://www.airbnb.com.vn/rooms/1159103098217113310?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-01&check_out=2024-09-06&source_impression_id=p3_1723899959_P3avbnEFhb9mDeii&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
76,https://www.airbnb.com.vn/rooms/24068079?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=470293698&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899959_P3f_azWqeSMebt1R&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
77,https://www.airbnb.com.vn/rooms/1069445941874942312?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899959_P3_-PLNIKaPgGZP9&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
78,https://www.airbnb.com.vn/rooms/1212737938147419887?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1965502510&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899959_P35_4SAeddUy9e0O&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
79,https://www.airbnb.com.vn/rooms/1043191877807686324?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899959_P3Twxq0aoUscCcHy&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
80,https://www.airbnb.com.vn/rooms/1086478812429657730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899959_P3LeFll7MIpj4NZN&previous_page_section_name=1000&federated_search_id=fb7be766-a69c-42e4-9704-2d6bded96ffa
