No,Name,Price,Location,Rate,Living Room,Bed Room,Bed,Bath Room,Link
16,"Quận 3 - Min space, max living - Giữa Sài Gòn -201",₫450.000 ,Quận 3,NA,1,1,0,0,https://www.airbnb.com.vn/rooms/1164538808948700997?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1917984653&search_mode=regular_search&check_in=2024-08-23&check_out=2024-08-28&source_impression_id=p3_1723899945_P37LbwRdLsHnJIPe&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
17,Studio ẤM cúng tại thị trấn Nhật Bản,₫526.104 ,Quận 1,NA,3,1,1,1,https://www.airbnb.com.vn/rooms/1198127913912279507?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899945_P3BjeH8J8L2sI8lw&previous_page_section_name=1000&federated_search_id=bf372954-7778-4bc6-984c-785f9460d5a4
18,325/37 Bạch Đằng Cửa Sổ Thoáng,₫300.631 ,Bình Thạnh,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/1197557403259617723?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899949_P39YKN8JlQ3gKmc9&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
19,"Tháp Masteri Thảo Điền T3, 1 phòng ngủ 1WC",₫958.000 ,Quận 2,"4,83",2,1,1,1,https://www.airbnb.com.vn/rooms/686701260232102555?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899949_P3i5a25p1n0G-x5U&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
20,[Swg] Nhà thông minh Insta-worthy W/ Bồn tắm ở Quận 1,₫641.346 ,Quận 1,"4,80",4,1,2,1,https://www.airbnb.com.vn/rooms/753111126120288445?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899950_P3pJp7Wj-qg5hXc5&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
21,Urban Oasis w Cement Bathtub & Projector @BuiVien,₫801.682 ,Quận 1,"5,0",3,1,1,1,https://www.airbnb.com.vn/rooms/1204123601752762951?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-26&check_out=2024-08-31&source_impression_id=p3_1723899950_P3KY0zt89xPkeheR&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
22,1 phòng ngủ D1- Bitexco View with Chill bancon,₫475.999 ,Quận 1,"4,63",3,1,1,1,https://www.airbnb.com.vn/rooms/1013640536593986063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3gisQE70eRAGg7e&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
23,[KHUYẾN MÃI LỚN] Máy chiếu đặc biệt + Bồn tắm + Netflix,₫502.054 ,Quận 1,"4,78",2,1,1,1,https://www.airbnb.com.vn/rooms/879959317309815514?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899950_P30dEgWh1GrlKy08&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
24,Nhà mình F5.4,₫355.000 ,Bình Thạnh,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/1207817931049750936?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3blgjC80Y5zsLYr&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
25,Staycious Fresh 3C* Gần chợ Bến Thành,₫314.000 ,Nguyễn Thái Bình,"4,59",1,1,0,0,https://www.airbnb.com.vn/rooms/24092728?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=471146581&search_mode=regular_search&check_in=2024-08-20&check_out=2024-08-25&source_impression_id=p3_1723899950_P3zEP27UKD8JxSq2&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
26,Wabi Sabi Insp + Netflix + Bồn tắm 5 phút@Ben Thanh,₫967.029 ,Quận 1,"4,75",3,1,2,1,https://www.airbnb.com.vn/rooms/987926716894388540?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-23&check_out=2024-08-28&source_impression_id=p3_1723899950_P3OZfq5JGUyo3SGa&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
27,Ivyhouse-Saigon Royal D4 gần Bến Thành - Netflix,₫898.435 ,Quận 4,"4,70",2,1,1,1,https://www.airbnb.com.vn/rooms/796670144212590183?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3IF9kR7ds9fReMt&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
28,DANNY 's RIVER VIEW STUDIO gần Quận 1 Bến Thành,₫880.000 ,Quận 4,"4,60",2,1,1,1,https://www.airbnb.com.vn/rooms/53908218?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-23&check_out=2024-08-28&source_impression_id=p3_1723899950_P3wmlka2ES6ldsQ1&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
29,121 Lily's house in center @D1,₫475.999 ,Quận 1,NA,4,1,1,1,https://www.airbnb.com.vn/rooms/1222808136542505678?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3slfkagM5Km2isn&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
30,Loft rộng rãi trong khu vực ẩm thực,₫586.731 ,Phú Nhuận,"4,87",2,1,1,1,https://www.airbnb.com.vn/rooms/848836829018892745?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3pCKqSSwduzJ85r&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
31,"Studio ấm cúng gần Phan Xích Long, 5 phút đến D1 & D3",₫366.000 ,Bình Thạnh,"4,88",2,1,1,1,https://www.airbnb.com.vn/rooms/1024202587107982159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899950_P3tQ_JDp9DN5ntoU&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
32,•,₫801.682 ,Quận 3,"4,77",2,1,1,1,https://www.airbnb.com.vn/rooms/972873441559867798?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-20&check_out=2024-08-25&source_impression_id=p3_1723899950_P3lBEg0pLVmDJHFw&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
33,Căn hộ 1 phòng ngủ - Vinhome Central Park,₫974.000 ,Phường 22,"4,61",2,1,1,1,https://www.airbnb.com.vn/rooms/917826457340929575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3oqYv0mSkuXDnDc&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
34,ZY 2.Bright Calming Rooftop *Riverside Vibrant D1*,₫800.880 ,Quận 1,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/1218550992181542696?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899950_P3M0nX7-bxD0G3Pj&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
35,"20% off, phòng 201 đẹp, sạch sẽ, ban công yên tĩnh",₫500.000 ,Thành phố Hồ Chí Minh,"4,92",1,1,0,0,https://www.airbnb.com.vn/rooms/774388211430321952?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1539426623&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899950_P3voQFufTjFtUiiV&previous_page_section_name=1000&federated_search_id=e67834b2-efed-4e1c-a79f-df32e3af9f39
36,Home.byAB - Vinhomes Grand Park - Origami S7.03,₫546.146 ,Quận 9,"4,96",2,1,1,1,https://www.airbnb.com.vn/rooms/1030280962762130556?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-22&check_out=2024-08-27&source_impression_id=p3_1723899952_P3xNEWECl7iGEIu2&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
37,Căn hộ dịch Vụ Quận 7,₫491.782 ,Quận 7,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/839637124832421043?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3X3OXGZrVV5jxbQ&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
38,ZY 3. Studio ấm cúng ở *Riverside Vibrant D1*,₫544.743 ,Quận 1,NA,1,1,0,0,https://www.airbnb.com.vn/rooms/1219399529523525531?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971887226&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3VPjIpGIES2JwwW&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
39,102 - studio có bếp riêng gần sân bay,₫420.000 ,Tân Bình,"5,0",2,1,1,1,https://www.airbnb.com.vn/rooms/1142326001611396435?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P323ExEE637j9zv_&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
40,Căn hộ 1 phòng ngủ tại Đảo Kim Cương,₫890.000 ,Bình Trưng Tây,"5,0",2,1,1,1,https://www.airbnb.com.vn/rooms/1081656867296055072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-25&check_out=2024-08-30&source_impression_id=p3_1723899953_P3Dbcde-pACZRWST&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
41,Trung tâm/Bàn làm việc/Nhà bếp/Máy chiếu & Netflix/FreeWasher,₫701.472 ,Đa Kao,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/1200708812779088258?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-21&check_out=2024-08-26&source_impression_id=p3_1723899953_P3yyHC5S6ntuMUJy&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
42,"Cách sông, trung tâm thành phố 2 bước, WIFI NHANH",₫468.000 ,Quận 1,"5,0",2,1,1,0,https://www.airbnb.com.vn/rooms/1053305033830220353?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3Ft0Q9xJ2btFTak&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
43,Căn hộ có bếp gần RMIT,₫320.000 ,Quận 7,"5,0",1,1,0,0,https://www.airbnb.com.vn/rooms/1155615430528138609?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1905718497&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3wpa8lwV-fgtLXT&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
44,Vibrant Loft-Style Apartment * City-Centre HCMC,₫589.237 ,Quận 1,"4,91",4,1,2,1,https://www.airbnb.com.vn/rooms/996686005766270955?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P3MAXdKY6E_0hxrX&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
45,Amenities & bright Little Japan @Benthanh,₫595.000 ,Quận 1,"4,70",3,1,1,1,https://www.airbnb.com.vn/rooms/841226328609891797?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3AAALzdmvrm-Kfx&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
46,Tiện nghi hàng đầu/Bãi đỗ xe miễn phí/Bếp tại Quận 1,₫520.000 ,Quận 1,"4,83",2,1,1,1,https://www.airbnb.com.vn/rooms/923627931937958352?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P3ybGlcQ_htVqIlo&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
47,Studio trung tâm với ban công ở trung tâm thành phố bằng xe BUÝT,₫911.337 ,Quận 1,"4,89",2,1,1,1,https://www.airbnb.com.vn/rooms/42031110?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P3jQIYU8obSqi9Ru&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
48,Nhà là nơi đầy đủ tiện nghi,₫364.515 ,Tân Hưng,"5,0",1,1,0,0,https://www.airbnb.com.vn/rooms/900526231593858375?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1661200959&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P34qPDbdWf6PBZy5&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
49,"8"" đi bộ đến Nguyễn Huệ Huế, Wifi nhanh, nhận phòng 24/7",₫496.000 ,Quận 4,"4,89",2,1,1,1,https://www.airbnb.com.vn/rooms/1004723639532088946?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899953_P3_5LDTAEoS2gdhr&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
50,NTT202_Studio mini ở phu nhuan với Netflix miễn phí,₫344.423 ,Phú Nhuận,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/1214915370091373471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899953_P3JrGHKqQkV9NdPH&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
51,Cubicity Hidden House 3B,₫651.367 ,Quận 1,"4,50",2,1,1,1,https://www.airbnb.com.vn/rooms/918741717139926427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899953_P3rQvm85WCiAsOX2&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
52,Nhà của bạn ở Thành phố Hồ Chí Minh,₫330.694 ,Quận 1,NA,1,1,0,0,https://www.airbnb.com.vn/rooms/1201464813404065169?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1953317270&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899953_P3zqu1f6NLsQbJFD&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
53,B House Inner 201,₫450.946 ,Quận 3,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/1180421281784433904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-30&check_out=2024-09-04&source_impression_id=p3_1723899953_P30surf6-4CUvSQJ&previous_page_section_name=1000&federated_search_id=70137375-9dc4-4a70-9a52-111c1022a626
54,Cubicity Hidden House 3B,₫651.367 ,Quận 1,"4,50",2,1,1,1,https://www.airbnb.com.vn/rooms/918741717139926427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899956_P3eqHSurs6D83PE8&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
55,B House Inner 201,₫450.946 ,Quận 3,NA,2,1,1,1,https://www.airbnb.com.vn/rooms/1180421281784433904?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-30&check_out=2024-09-04&source_impression_id=p3_1723899956_P3zpqMdHurWed-ZK&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
56,Studio 2 người thoải mái gần trung tâm TP HCM,₫383.305 ,phường 15,"4,73",2,1,1,1,https://www.airbnb.com.vn/rooms/25896078?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-09-01&check_out=2024-09-06&source_impression_id=p3_1723899956_P3hXD6KLT9ro-2wU&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
57,Giảm giá 20%* Studio trung tâm thành phố * Hồ bơi MIỄN PHÍ,₫689.948 ,Quận 4,"5,0",2,1,1,1,https://www.airbnb.com.vn/rooms/1099643396935470156?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-18&check_out=2024-08-23&source_impression_id=p3_1723899956_P3A3wVM6TYg672cF&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
58,Yummyhouse Vihomes GrandPark Q9,₫866.400 ,Long Bình,NA,6,2,4,2,https://www.airbnb.com.vn/rooms/1215111982906001017?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899956_P3fga4VgbnRxG6Hm&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
59,Sạch sẽ và siêu ấm cúng ~ Giường tầng rộng rãi |B3|,₫141.930 ,Quận 1,"4,82",6,1,0,0,https://www.airbnb.com.vn/rooms/711960758494920396?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-19&check_out=2024-08-24&source_impression_id=p3_1723899956_P3MXnWJPXWRdvrbJ&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
60,Nhà của bạn ở Thành phố Hồ Chí Minh,₫330.694 ,Quận 1,NA,1,1,0,0,https://www.airbnb.com.vn/rooms/1201464813404065169?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1953317270&search_mode=regular_search&check_in=2024-08-17&check_out=2024-08-22&source_impression_id=p3_1723899956_P3F3mJJem3vfsAYw&previous_page_section_name=1000&federated_search_id=78724e10-019c-479a-a4d2-7ae5d2ecea4b
